TENTATIVE LIST OF INSTITUTES AND INTAKE 2026-27
1. नवीन पाठ्यक्रमों/संस्थाओं की जानकारी, विश्‍वविद्यालय की संबद्धता/ए.एफ़.आर.सी. द्वारा प्राप्त फीस निर्धारण के दस्तावेज उपलब्ध कराने के उपरांत ही प्रदर्शित होगी |
2. प्रवेश क्षमता में वृद्धि की जानकारी, विश्‍वविद्यालय की संबद्धता के दस्तावेज उपलब्ध कराने के उपरांत ही प्रदर्शित होगी |
3. संस्थाएं पॉर्टल पर प्रदर्शित जानकारी का अवलोकन कर जानकारी में किसी भी प्रकार की त्रुटि को विभाग के संज्ञान में लाकर यथा संशोधन करवाना सुनिश्चित करें|
S. No.	College ID	Institute Name	Branch	Intake	10% in BE and BPHARM of Last Year Intake	First year vacancy of 2025	Institute Type	AICTE Code	Remark	AFRC/Govt. Fee Status	University
577	0198	Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)	Computer Science and Engineering	24	24	 	PRIVATE	1-6078286	, VACANT SEATS AGAINST ADMISSION 1ST YEAR AS PER UNIV LETTER 2025-26 NOT ATTACHED	 	RGPV,BHOPAL
578	0198	Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)	Computer Science and Information Technology	6	6	 	Private	1-6078286	, VACANT SEATS AGAINST ADMISSION 1ST YEAR AS PER UNIV LETTER 2025-26 NOT ATTACHED	 	RGPV,BHOPAL
579	0198	Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)	DATA SCIENCE	6	6	 	Private	1-6078286	, VACANT SEATS AGAINST ADMISSION 1ST YEAR AS PER UNIV LETTER 2025-26 NOT ATTACHED	 	RGPV,BHOPAL
580	0198	Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-6078286	, VACANT SEATS AGAINST ADMISSION 1ST YEAR AS PER UNIV LETTER 2025-26 NOT ATTACHED	 	RGPV,BHOPAL
581	0198	Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)	Information Technology	6	6	 	Private	1-6078286	, VACANT SEATS AGAINST ADMISSION 1ST YEAR AS PER UNIV LETTER 2025-26 NOT ATTACHED	 	RGPV,BHOPAL
582	0198	Shivajirao Kadam Institute of Technology and Management-Technical Campus, Indore (2009)	Mechanical Engineering	3	3	 	PRIVATE	1-6078286	, VACANT SEATS AGAINST ADMISSION 1ST YEAR AS PER UNIV LETTER 2025-26 NOT ATTACHED	 	RGPV,BHOPAL
583	1006	Shreejee Institute of Technology and Management, Khargone (2010)	Civil Engineering	5	5	 	Private	1-9278111	 	 	RGPV,BHOPAL
584	1006	Shreejee Institute of Technology and Management, Khargone (2010)	Computer Science and Engineering	5	5	 	PRIVATE	1-9278111	 	 	RGPV,BHOPAL
585	1006	Shreejee Institute of Technology and Management, Khargone (2010)	Electronics and Communication Engineering	5	5	 	PRIVATE	1-9278111	 	 	RGPV,BHOPAL
586	1006	Shreejee Institute of Technology and Management, Khargone (2010)	Electrical & Electronics Engineering	5	5	 	PRIVATE	1-9278111	 	 	RGPV,BHOPAL
587	1006	Shreejee Institute of Technology and Management, Khargone (2010)	Mechanical Engineering	3	3	 	PRIVATE	1-9278111	 	 	RGPV,BHOPAL
588	0169	Shri Balaji Institute of Technology & Management, Betul (2009)	Artificial Intelligence (AI) and Data Science	6	6	 	Private	1-9292656	 	 	RGPV,BHOPAL
589	0169	Shri Balaji Institute of Technology & Management, Betul (2009)	Civil Engineering	3	3	 	Private	1-9292656	 	 	RGPV,BHOPAL
590	0169	Shri Balaji Institute of Technology & Management, Betul (2009)	Computer Science and Engineering	9	9	 	PRIVATE	1-9292656	 	 	RGPV,BHOPAL
591	0169	Shri Balaji Institute of Technology & Management, Betul (2009)	Electrical & Electronics Engineering	6	6	 	PRIVATE	1-9292656	 	 	RGPV,BHOPAL
592	0169	Shri Balaji Institute of Technology & Management, Betul (2009)	Mechanical Engineering	6	6	 	PRIVATE	1-9292656	 	 	RGPV,BHOPAL
593	0181	Shri Dadaji Institute of Technology & Science, khandwa	Civil Engineering	6	6	 	Private	1-1728281	 	 	RGPV,BHOPAL
594	0181	Shri Dadaji Institute of Technology & Science, khandwa	Computer Science and Engineering	9	9	 	PRIVATE	1-1728281	 	 	RGPV,BHOPAL
595	0181	Shri Dadaji Institute of Technology & Science, khandwa	Computer Science and Engineering-Indian language (Hindi)	3	3	 	Private	1-1728281	 	 	RGPV,BHOPAL
596	0181	Shri Dadaji Institute of Technology & Science, khandwa	DATA SCIENCE	6	6	 	Private	1-1728281	 	 	RGPV,BHOPAL
597	0181	Shri Dadaji Institute of Technology & Science, khandwa	Electronics and Communication Engineering	3	3	 	PRIVATE	1-1728281	 	 	RGPV,BHOPAL
598	0181	Shri Dadaji Institute of Technology & Science, khandwa	Electrical & Electronics Engineering	6	6	 	PRIVATE	1-1728281	 	 	RGPV,BHOPAL
599	0181	Shri Dadaji Institute of Technology & Science, khandwa	Mechanical Engineering	6	6	 	PRIVATE	1-1728281	 	 	RGPV,BHOPAL
600	0054	Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)	Biomedical Engineering (Indian Language-Hindi)	3	3	 	Government Aided	1-10540411	 	 	RGPV,BHOPAL
601	0054	Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)	Bio-Medical Engineering	6	6	 	Government Aided	1-10540411	 	 	RGPV,BHOPAL
602	0054	Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)	Civil Engineering	9	9	 	Government Aided	1-10540411	 	 	RGPV,BHOPAL
603	0054	Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)	Computer Science and Engineering	12	12	 	Government Aided	1-10540411	 	 	RGPV,BHOPAL
604	0054	Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)	Electrical Engineering	9	9	 	Government Aided	1-10540411	 	 	RGPV,BHOPAL
605	0054	Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)	Electronics & Instrumentation	9	9	 	Government Aided	1-10540411	 	 	RGPV,BHOPAL
606	0054	Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)	Electronics and Telecommunications	9	9	 	Government Aided	1-10540411	 	 	RGPV,BHOPAL
607	0054	Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)	Industrial & Production Engineering	9	9	 	Government Aided	1-10540411	 	 	RGPV,BHOPAL
608	0054	Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)	Information Technology	12	12	 	Government Aided [Branch Type-Self Finance]	1-10540411	 	 	RGPV,BHOPAL
609	0054	Shri G.S. Institute of Technology & Science, Indore (M.P.) (1952)	Mechanical Engineering	9	9	 	Government Aided	1-10540411	 	 	RGPV,BHOPAL
610	0170	Shri Guru Sandipani Institute of Technology & Science, Ujjain (2009)	Civil Engineering	6	6	 	Private	1-8110711	 	 	RGPV,BHOPAL
611	0170	Shri Guru Sandipani Institute of Technology & Science, Ujjain (2009)	Computer Science and Engineering	12	12	 	PRIVATE	1-8110711	 	 	RGPV,BHOPAL
612	0170	Shri Guru Sandipani Institute of Technology & Science, Ujjain (2009)	Electronics and Communication Engineering	6	6	 	PRIVATE	1-8110711	 	 	RGPV,BHOPAL
613	0170	Shri Guru Sandipani Institute of Technology & Science, Ujjain (2009)	Mechanical Engineering	6	6	 	PRIVATE	1-8110711	 	 	RGPV,BHOPAL
614	0171	Shri Ram College of Engineering & Management, Banmore (1998)	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	6	6	 	PRIVATE	1-6933761	 	 	RGPV,BHOPAL
615	0171	Shri Ram College of Engineering & Management, Banmore (1998)	Computer Science and Engineering	12	12	 	PRIVATE	1-6933761	 	 	RGPV,BHOPAL
616	0171	Shri Ram College of Engineering & Management, Banmore (1998)	Electronics and Communication Engineering	6	6	 	PRIVATE	1-6933761	 	 	RGPV,BHOPAL
617	0171	Shri Ram College of Engineering & Management, Banmore (1998)	Mechanical Engineering	6	6	 	PRIVATE	1-6933761	 	 	RGPV,BHOPAL
618	0172	SHRI RAM COLLEGE OF TECHNOLOGY, BHOPAL (2009)	Civil Engineering	3	3	 	Private	1-10567201	 	 	RGPV,BHOPAL
619	0172	SHRI RAM COLLEGE OF TECHNOLOGY, BHOPAL (2009)	Computer Science and Engineering	3	3	 	PRIVATE	1-10567201	 	 	RGPV,BHOPAL
620	0172	SHRI RAM COLLEGE OF TECHNOLOGY, BHOPAL (2009)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-10567201	 	 	RGPV,BHOPAL
621	0172	SHRI RAM COLLEGE OF TECHNOLOGY, BHOPAL (2009)	Electrical & Electronics Engineering	6	6	 	PRIVATE	1-10567201	 	 	RGPV,BHOPAL
622	0172	SHRI RAM COLLEGE OF TECHNOLOGY, BHOPAL (2009)	Mechanical Engineering	6	6	 	PRIVATE	1-10567201	 	 	RGPV,BHOPAL
623	0135	SHRI RAM GROUP OF INSTITUTION (FACULTY OF ENGINEERING, PHARMACY, MBA, MCA), JABALPUR (2009)	Civil Engineering	3	3	 	Private	1-7136301	 	 	RGPV,BHOPAL
624	0135	SHRI RAM GROUP OF INSTITUTION (FACULTY OF ENGINEERING, PHARMACY, MBA, MCA), JABALPUR (2009)	Computer Science and Engineering	18	18	 	PRIVATE	1-7136301	 	 	RGPV,BHOPAL
625	0135	SHRI RAM GROUP OF INSTITUTION (FACULTY OF ENGINEERING, PHARMACY, MBA, MCA), JABALPUR (2009)	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND DATA SCIENCE)	6	6	 	PRIVATE	1-7136301	 	 	RGPV,BHOPAL
626	0135	SHRI RAM GROUP OF INSTITUTION (FACULTY OF ENGINEERING, PHARMACY, MBA, MCA), JABALPUR (2009)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-7136301	 	 	RGPV,BHOPAL
627	0135	SHRI RAM GROUP OF INSTITUTION (FACULTY OF ENGINEERING, PHARMACY, MBA, MCA), JABALPUR (2009)	Electrical Engineering	3	3	 	PRIVATE	1-7136301	 	 	RGPV,BHOPAL
628	0135	SHRI RAM GROUP OF INSTITUTION (FACULTY OF ENGINEERING, PHARMACY, MBA, MCA), JABALPUR (2009)	Mechanical Engineering	3	3	 	PRIVATE	1-7136301	 	 	RGPV,BHOPAL
629	0173	Shri Ram Institute of Information Technology, Banmore, Morena (2007)	Artificial Intelligence (AI) and Data Science	6	6	 	PRIVATE	1-6848501	 	 	RGPV,BHOPAL
630	0173	Shri Ram Institute of Information Technology, Banmore, Morena (2007)	Civil Engineering	6	6	 	Private	1-6848501	 	 	RGPV,BHOPAL
631	0173	Shri Ram Institute of Information Technology, Banmore, Morena (2007)	Computer Science and Engineering	12	12	 	PRIVATE	1-6848501	 	 	RGPV,BHOPAL
632	0173	Shri Ram Institute of Information Technology, Banmore, Morena (2007)	Electronics and Communication Engineering	6	6	 	PRIVATE	1-6848501	 	 	RGPV,BHOPAL
633	0173	Shri Ram Institute of Information Technology, Banmore, Morena (2007)	Mechanical Engineering	6	6	 	PRIVATE	1-6848501	 	 	RGPV,BHOPAL
634	0174	Shri Ram Institute of Science & Technology, Jabalpur (2007)	Computer Science and Engineering	18	18	 	PRIVATE	1-7039411	 	 	RGPV,BHOPAL
635	0174	Shri Ram Institute of Science & Technology, Jabalpur (2007)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	15	15	 	PRIVATE	1-7039411	 	 	RGPV,BHOPAL
636	0174	Shri Ram Institute of Science & Technology, Jabalpur (2007)	COMPUTER SCIENCE AND ENGINEERING(INTERNET OF THINGS AND CYBER SECURITY INCLUDING BLOCK CHAIN TECHNOLOGY)	6	6	 	PRIVATE	1-7039411	 	 	RGPV,BHOPAL
637	0174	Shri Ram Institute of Science & Technology, Jabalpur (2007)	Mechanical Engineering	3	3	 	PRIVATE	1-7039411	 	 	RGPV,BHOPAL
638	0175	Shri Ram Institute of Technology, Jabalpur (2001)	Computer Engineering	6	6	 	PRIVATE	1-14909641	 	 	RGPV,BHOPAL
639	0175	Shri Ram Institute of Technology, Jabalpur (2001)	Civil Engineering	3	3	 	PRIVATE	1-14909641	 	 	RGPV,BHOPAL
640	0175	Shri Ram Institute of Technology, Jabalpur (2001)	COMPUTER SCIENCE AND BUSINESS SYSTEM	3	3	 	PRIVATE	1-14909641	 	 	RGPV,BHOPAL
641	0175	Shri Ram Institute of Technology, Jabalpur (2001)	Computer Science and Engineering	24	24	 	PRIVATE	1-14909641	 	 	RGPV,BHOPAL
642	0175	Shri Ram Institute of Technology, Jabalpur (2001)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	15	15	 	PRIVATE	1-14909641	 	 	RGPV,BHOPAL
643	0175	Shri Ram Institute of Technology, Jabalpur (2001)	Electronics and Communication Engineering	12	12	 	PRIVATE	1-14909641	 	 	RGPV,BHOPAL
644	0175	Shri Ram Institute of Technology, Jabalpur (2001)	Electrical Engineering	6	6	 	PRIVATE	1-14909641	 	 	RGPV,BHOPAL
645	0175	Shri Ram Institute of Technology, Jabalpur (2001)	Mechanical Engineering	6	6	 	PRIVATE	1-14909641	 	 	RGPV,BHOPAL
646	2062	SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM), SATNA	Civil Engineering	6	6	 	PRIVATE	1-2857046271	 	 	RGPV,BHOPAL
647	2062	SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM), SATNA	Computer Science and Engineering	6	6	 	PRIVATE	1-2857046271	 	 	RGPV,BHOPAL
648	2062	SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM), SATNA	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	6	6	 	PRIVATE	1-2857046271	 	 	RGPV,BHOPAL
649	2062	SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM), SATNA	Electrical Engineering	6	6	 	PRIVATE	1-2857046271	 	 	RGPV,BHOPAL
650	2062	SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM), SATNA	Mechanical Engineering	6	6	 	PRIVATE	1-2857046271	 	 	RGPV,BHOPAL
651	2062	SHRI RAMA KRISHNA COLLEGE OF ENGINEERING SCIENCE AND MANAGEMENT (SRKCESM), SATNA	MINING Eng	6	6	 	PRIVATE	1-2857046271	 	 	RGPV,BHOPAL
652	0176	Shri Rawatpura Sarkar Institute of Technology & Science, Datia (2002)	Civil Engineering	3	3	 	Private	1-16471761	 	 	RGPV,BHOPAL
653	0176	Shri Rawatpura Sarkar Institute of Technology & Science, Datia (2002)	Computer Science and Engineering	3	3	 	PRIVATE	1-16471761	 	 	RGPV,BHOPAL
654	0176	Shri Rawatpura Sarkar Institute of Technology & Science, Datia (2002)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-16471761	 	 	RGPV,BHOPAL
655	0176	Shri Rawatpura Sarkar Institute of Technology & Science, Datia (2002)	Mechanical Engineering	3	3	 	PRIVATE	1-16471761	 	 	RGPV,BHOPAL
656	0179	Shri Yogendra Sagar Institute of Technology & Science, Ratlam (2008)	Civil Engineering	3	3	 	Private	1-13636687	 	 	RGPV,BHOPAL
657	0179	Shri Yogendra Sagar Institute of Technology & Science, Ratlam (2008)	Computer Science and Engineering	6	6	 	PRIVATE	1-13636687	 	 	RGPV,BHOPAL
658	0179	Shri Yogendra Sagar Institute of Technology & Science, Ratlam (2008)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-13636687	 	 	RGPV,BHOPAL
659	0179	Shri Yogendra Sagar Institute of Technology & Science, Ratlam (2008)	Electrical Engineering	3	3	 	PRIVATE	1-13636687	 	 	RGPV,BHOPAL
660	0179	Shri Yogendra Sagar Institute of Technology & Science, Ratlam (2008)	Information Technology	3	3	 	PRIVATE	1-13636687	 	 	RGPV,BHOPAL
661	0179	Shri Yogendra Sagar Institute of Technology & Science, Ratlam (2008)	Mechanical Engineering	3	3	 	PRIVATE	1-13636687	 	 	RGPV,BHOPAL
662	0162	SRAJAN INSTITUTE OF TECH., MANAGEMENT & SCIENCE, RATLAM (2009)	Civil Engineering	6	6	 	Private	1-16255851	 	 	RGPV,BHOPAL
663	0162	SRAJAN INSTITUTE OF TECH., MANAGEMENT & SCIENCE, RATLAM (2009)	Computer Science and Engineering	6	6	 	PRIVATE	1-16255851	 	 	RGPV,BHOPAL
664	0162	SRAJAN INSTITUTE OF TECH., MANAGEMENT & SCIENCE, RATLAM (2009)	ELECTRIC VEHICLES	6	6	 	Private	1-16255851	 	 	RGPV,BHOPAL
665	0162	SRAJAN INSTITUTE OF TECH., MANAGEMENT & SCIENCE, RATLAM (2009)	Information Technology	3	3	 	PRIVATE	1-16255851	 	 	RGPV,BHOPAL
666	0162	SRAJAN INSTITUTE OF TECH., MANAGEMENT & SCIENCE, RATLAM (2009)	Mechanical Engineering	6	6	 	PRIVATE	1-16255851	 	 	RGPV,BHOPAL
667	0180	Sri Aurobindo Institute of Technology, Indore (2009)	Civil Engineering	3	3	 	Private	1-2943641	 	 	RGPV,BHOPAL
668	0180	Sri Aurobindo Institute of Technology, Indore (2009)	Computer Science and Engineering	21	21	 	PRIVATE	1-2943641	 	 	RGPV,BHOPAL
669	0180	Sri Aurobindo Institute of Technology, Indore (2009)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	6	6	 	Private	1-2943641	 	 	RGPV,BHOPAL
670	0180	Sri Aurobindo Institute of Technology, Indore (2009)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-2943641	 	 	RGPV,BHOPAL
671	0180	Sri Aurobindo Institute of Technology, Indore (2009)	Mechanical Engineering	3	3	 	PRIVATE	1-2943641	 	 	RGPV,BHOPAL
672	1035	Sri Parashuram Institute of Technology & Research, Khandwa (2013)	Civil Engineering	3	3	 	private	1-511689081	 	 	RGPV,BHOPAL
673	1035	Sri Parashuram Institute of Technology & Research, Khandwa (2013)	Computer Science and Engineering	3	3	 	private	1-511689081	 	 	RGPV,BHOPAL
674	1035	Sri Parashuram Institute of Technology & Research, Khandwa (2013)	Electrical & Electronics Engineering	3	3	 	private	1-511689081	 	 	RGPV,BHOPAL
675	1035	Sri Parashuram Institute of Technology & Research, Khandwa (2013)	Mechanical Engineering	3	3	 	private	1-511689081	 	 	RGPV,BHOPAL
676	0156	ST. ALOYSIUS INSTITUTE OF TECHNOLOGY, JABALPUR (2009)	ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING	3	3	 	Private	1-2944881	 	 	RGPV,BHOPAL
677	0156	ST. ALOYSIUS INSTITUTE OF TECHNOLOGY, JABALPUR (2009)	Civil Engineering	6	6	 	Private	1-2944881	 	 	RGPV,BHOPAL
678	0156	ST. ALOYSIUS INSTITUTE OF TECHNOLOGY, JABALPUR (2009)	Computer Science and Engineering	6	6	 	PRIVATE	1-2944881	 	 	RGPV,BHOPAL
679	0156	ST. ALOYSIUS INSTITUTE OF TECHNOLOGY, JABALPUR (2009)	DATA SCIENCE	3	3	 	Private	1-2944881	 	 	RGPV,BHOPAL
680	0156	ST. ALOYSIUS INSTITUTE OF TECHNOLOGY, JABALPUR (2009)	Electrical & Electronics Engineering	2	2	 	PRIVATE	1-2944881	 	 	RGPV,BHOPAL
681	0156	ST. ALOYSIUS INSTITUTE OF TECHNOLOGY, JABALPUR (2009)	Mechanical Engineering	6	6	 	PRIVATE	1-2944881	 	 	RGPV,BHOPAL
682	0185	Surabhi College of Engineering & Technology, Bhopal (2008)	Civil Engineering	3	3	 	PRIVATE	1-488049531	 	 	RGPV,BHOPAL
683	0185	Surabhi College of Engineering & Technology, Bhopal (2008)	Computer Science and Engineering	6	6	 	PRIVATE	1-488049531	 	 	RGPV,BHOPAL
684	0185	Surabhi College of Engineering & Technology, Bhopal (2008)	Electrical & Electronics Engineering	3	3	 	PRIVATE	1-488049531	 	 	RGPV,BHOPAL
685	0185	Surabhi College of Engineering & Technology, Bhopal (2008)	Mechanical Engineering	3	3	 	PRIVATE	1-488049531	 	 	RGPV,BHOPAL
686	1029	Sushila Devi Bansal College of Engineering, Indore (2006)	Civil Engineering	3	3	 	Private	1-10279691	 	 	RGPV,BHOPAL
687	1029	Sushila Devi Bansal College of Engineering, Indore (2006)	Computer Science and Engineering	18	18	 	Private	1-10279691	 	 	RGPV,BHOPAL
688	1029	Sushila Devi Bansal College of Engineering, Indore (2006)	COMPUTER SCIENCE AND ENGINEERING(DATA SCIENCE)	6	6	 	Private	1-10279691	 	 	RGPV,BHOPAL
689	1029	Sushila Devi Bansal College of Engineering, Indore (2006)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	6	6	 	Private	1-10279691	 	 	RGPV,BHOPAL
690	1029	Sushila Devi Bansal College of Engineering, Indore (2006)	Mechanical Engineering	3	3	 	Private	1-10279691	 	 	RGPV,BHOPAL
691	0187	Sushila Devi Bansal College of Technology, indore (2005)	Civil Engineering	3	3	 	Private	1-10444003	 	 	RGPV,BHOPAL
692	0187	Sushila Devi Bansal College of Technology, indore (2005)	Computer Science and Engineering	18	18	 	Private	1-10444003	 	 	RGPV,BHOPAL
693	0187	Sushila Devi Bansal College of Technology, indore (2005)	Electronics and Communication Engineering	3	3	 	Private	1-10444003	 	 	RGPV,BHOPAL
694	0187	Sushila Devi Bansal College of Technology, indore (2005)	Information Technology	12	12	 	Private	1-10444003	 	 	RGPV,BHOPAL
695	0187	Sushila Devi Bansal College of Technology, indore (2005)	Mechanical Engineering	6	6	 	Private	1-10444003	 	 	RGPV,BHOPAL
696	0188	Swami Vivekanand College of Engineering, Indore (2004)	Civil Engineering	6	6	 	Private	1-9858001	 	 	RGPV,BHOPAL
697	0188	Swami Vivekanand College of Engineering, Indore (2004)	Computer Science and Engineering	18	18	 	PRIVATE	1-9858001	 	 	RGPV,BHOPAL
698	0188	Swami Vivekanand College of Engineering, Indore (2004)	Electronics and Communication Engineering	6	6	 	PRIVATE	1-9858001	 	 	RGPV,BHOPAL
699	0188	Swami Vivekanand College of Engineering, Indore (2004)	Electrical & Electronics Engineering	6	6	 	PRIVATE	1-9858001	 	 	RGPV,BHOPAL
700	0188	Swami Vivekanand College of Engineering, Indore (2004)	Information Technology	12	12	 	PRIVATE	1-9858001	 	 	RGPV,BHOPAL
701	0188	Swami Vivekanand College of Engineering, Indore (2004)	Mechanical Engineering	6	6	 	PRIVATE	1-9858001	 	 	RGPV,BHOPAL
702	0189	SWAMI VIVEKANAND COLLEGE OF SCIENCE & TECHNOLOGY, BHOPAL (2006)	Civil Engineering	3	3	 	Private	1-40098463	 	 	RGPV,BHOPAL
703	0189	SWAMI VIVEKANAND COLLEGE OF SCIENCE & TECHNOLOGY, BHOPAL (2006)	Computer Science and Engineering	3	3	 	PRIVATE	1-40098463	 	 	RGPV,BHOPAL
704	0189	SWAMI VIVEKANAND COLLEGE OF SCIENCE & TECHNOLOGY, BHOPAL (2006)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-40098463	 	 	RGPV,BHOPAL
705	0189	SWAMI VIVEKANAND COLLEGE OF SCIENCE & TECHNOLOGY, BHOPAL (2006)	Information Technology	2	2	 	PRIVATE	1-40098463	 	 	RGPV,BHOPAL
706	0189	SWAMI VIVEKANAND COLLEGE OF SCIENCE & TECHNOLOGY, BHOPAL (2006)	Mechanical Engineering	3	3	 	PRIVATE	1-40098463	 	 	RGPV,BHOPAL
707	0192	Takshshila Institute of Engineering & Technology, Jabalpur (2004)	Civil Engineering	6	6	 	Private	1-4197331	 	 	RGPV,BHOPAL
708	0192	Takshshila Institute of Engineering & Technology, Jabalpur (2004)	Computer Science and Engineering	12	12	 	Private	1-4197331	 	 	RGPV,BHOPAL
709	0192	Takshshila Institute of Engineering & Technology, Jabalpur (2004)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	6	6	 	Private	1-4197331	 	 	RGPV,BHOPAL
710	0192	Takshshila Institute of Engineering & Technology, Jabalpur (2004)	Electrical & Electronics Engineering	6	6	 	Private	1-4197331	 	 	RGPV,BHOPAL
711	0192	Takshshila Institute of Engineering & Technology, Jabalpur (2004)	Mechanical Engineering	6	6	 	Private	1-4197331	 	 	RGPV,BHOPAL
712	0193	Technocrats Institute of Technology & Science, Bhopal (2007)	Civil Engineering	3	3	 	PRIVATE	1-9445501	 	 	RGPV,BHOPAL
713	0193	Technocrats Institute of Technology & Science, Bhopal (2007)	Computer Science and Engineering	18	18	 	PRIVATE	1-9445501	 	 	RGPV,BHOPAL
714	0193	Technocrats Institute of Technology & Science, Bhopal (2007)	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE)	6	6	 	PRIVATE	1-9445501	 	 	RGPV,BHOPAL
715	0193	Technocrats Institute of Technology & Science, Bhopal (2007)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	18	18	 	PRIVATE	1-9445501	 	 	RGPV,BHOPAL
716	0193	Technocrats Institute of Technology & Science, Bhopal (2007)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-9445501	 	 	RGPV,BHOPAL
717	0193	Technocrats Institute of Technology & Science, Bhopal (2007)	Electrical & Electronics Engineering	3	3	 	PRIVATE	1-9445501	 	 	RGPV,BHOPAL
718	0193	Technocrats Institute of Technology & Science, Bhopal (2007)	Mechanical Engineering	3	3	 	PRIVATE	1-9445501	 	 	RGPV,BHOPAL
719	0194	Technocrats Institute of Technology (Excellence), Bhopal (2007)	Civil Engineering	3	3	 	Private	1-9406071	 	 	RGPV,BHOPAL
720	0194	Technocrats Institute of Technology (Excellence), Bhopal (2007)	Computer Science and Engineering	36	36	 	PRIVATE	1-9406071	 	 	RGPV,BHOPAL
721	0194	Technocrats Institute of Technology (Excellence), Bhopal (2007)	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE)	6	6	 	PRIVATE	1-9406071	 	 	RGPV,BHOPAL
722	0194	Technocrats Institute of Technology (Excellence), Bhopal (2007)	COMPUTER SCIENCE AND ENGINEERING(CYBER SECURITY)	6	6	 	PRIVATE	1-9406071	 	 	RGPV,BHOPAL
723	0194	Technocrats Institute of Technology (Excellence), Bhopal (2007)	COMPUTER SCIENCE AND ENGINEERING(ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING)	18	18	 	PRIVATE	1-9406071	 	 	RGPV,BHOPAL
724	0194	Technocrats Institute of Technology (Excellence), Bhopal (2007)	Electronics and Communication Engineering	3	3	 	PRIVATE	1-9406071	 	 	RGPV,BHOPAL
725	0194	Technocrats Institute of Technology (Excellence), Bhopal (2007)	Electrical & Electronics Engineering	3	3	 	Private	1-9406071	 	 	RGPV,BHOPAL
726	0194	Technocrats Institute of Technology (Excellence), Bhopal (2007)	Mechanical Engineering	3	3	 	PRIVATE	1-9406071	 	 	RGPV,BHOPAL
727	0195	TECHNOCRATS INSTITUTE OF TECHNOLOGY, BHOPAL (2000)	Civil Engineering	6	6	 	PRIVATE	1-8726441	 	 	RGPV,BHOPAL
728	0195	TECHNOCRATS INSTITUTE OF TECHNOLOGY, BHOPAL (2000)	Computer Science and Engineering	24	24	 	PRIVATE	1-8726441	 	 	RGPV,BHOPAL
729	0195	TECHNOCRATS INSTITUTE OF TECHNOLOGY, BHOPAL (2000)	COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE)	12	12	 	PRIVATE	1-8726441	 	 	RGPV,BHOPAL
