110,Corporate Institute of Science & Technology Bhopal (2008),Private,CSE,DIPPPT,603,3040,UR/X/OP,N,5,2026
111,Corporate Institute of Science & Technology Bhopal (2008),Private,CIVIL,DIPPPT,1722,3463,UR/X/OP,N,12,2026
112,DR. A.P.J. ABDUL KALAM UIT JHABUA,S.F.I.,CSE,DIPPPT,1221,2401,UR/X/F,Y,4,2026
113,DR. A.P.J. ABDUL KALAM UIT JHABUA,S.F.I.,CSE,DIPPPT,2222,3090,UR/X/OP,Y,4,2026
114,DR. BHAGAT SINGH RAI INSTITUTE OF TECHNOLOGY SEONI,Private,MECH,DIPPPT,3467,3467,UR/X/OP,N,1,2026
115,Guru Ramdas Khalsa Institute of Science & Technology Jabalpur (1997),Private,ELECT ELEX,DIPPPT,1136,1136,UR/X/OP,N,1,2026
116,Guru Ramdas Khalsa Institute of Science & Technology Jabalpur (1997),Private,CSE,DIPPPT,1661,1720,UR/X/OP,N,2,2026
117,Gwalior Institute of Information Technology Gwalior (2008),Private,CSE,DIPPPT,158,1249,UR/X/OP,N,5,2026
118,Gwalior Institute of Information Technology Gwalior (2008),Private,EC,DIPPPT,53,3307,UR/X/OP,N,5,2026
119,Gwalior Institute of Information Technology Gwalior (2008),Private,MECH,DIPPPT,201,3399,UR/X/OP,N,12,2026
120,Gwalior Institute of Information Technology Gwalior (2008),Private,CIVIL,DIPPPT,67,3464,UR/X/OP,N,26,2026
121,Gwalior Institute of Information Technology Gwalior (2008),Private,CIVIL,DIPPPT,3524,3526,UR/X/OP,N,2,2026
122,Gyan Ganga College of Technology Jabalpur (2006),Private,CSE,DIPPPT,2836,3370,UR/X/OP,N,4,2026
123,GYAN GANGA INSTITUTE OF TECHNOLOGY & SCIENCE JABALPUR (2003),Private,ELECT ELEX,DIPPPT,2374,2753,OBC/X/OP,Y,3,2026
124,GYAN GANGA INSTITUTE OF TECHNOLOGY & SCIENCE JABALPUR (2003),Private,ELECT ELEX,DIPPPT,2799,2799,SC/X/OP,Y,1,2026
125,GYAN GANGA INSTITUTE OF TECHNOLOGY & SCIENCE JABALPUR (2003),Private,EE,DIPPPT,565,1859,UR/X/OP,N,4,2026
126,GYAN GANGA INSTITUTE OF TECHNOLOGY & SCIENCE JABALPUR (2003),Private,ELECT ELEX,DIPPPT,1377,2022,UR/X/OP,N,4,2026
127,GYAN GANGA INSTITUTE OF TECHNOLOGY & SCIENCE JABALPUR (2003),Private,CSE,DIPPPT,79,2978,UR/X/OP,N,8,2026
128,GYAN GANGA INSTITUTE OF TECHNOLOGY & SCIENCE JABALPUR (2003),Private,EC,DIPPPT,564,3304,UR/X/OP,N,2,2026
129,GYAN GANGA INSTITUTE OF TECHNOLOGY & SCIENCE JABALPUR (2003),Private,CIVIL,DIPPPT,19,3449,UR/X/OP,N,5,2026
130,GYAN GANGA INSTITUTE OF TECHNOLOGY & SCIENCE JABALPUR (2003),Private,CSEIML,DIPPPT,1056,3466,UR/X/OP,N,4,2026
131,GYAN GANGA INSTITUTE OF TECHNOLOGY & SCIENCE JABALPUR (2003),Private,MECH,DIPPPT,1317,3511,UR/X/OP,N,5,2026
132,"Gyan Sagar College of Engineering, Sagar (2009)",Private,ELECT ELEX,DIPPPT,1076,1076,UR/X/OP,N,1,2026
133,"Gyan Sagar College of Engineering, Sagar (2009)",Private,CIVIL,DIPPPT,2523,2523,UR/X/OP,N,1,2026
134,Hitkarni College of Engineering & Technology Jabalpur (1997),Private,ELECT ELEX,DIPPPT,2623,3397,OBC/X/OP,Y,10,2026
135,Hitkarni College of Engineering & Technology Jabalpur (1997),Private,MECH,DIPPPT,3203,3512,OBC/X/OP,Y,5,2026
136,Hitkarni College of Engineering & Technology Jabalpur (1997),Private,ELECT ELEX,DIPPPT,2493,3248,SC/X/OP,Y,3,2026
137,Hitkarni College of Engineering & Technology Jabalpur (1997),Private,ELECT ELEX,DIPPPT,2308,2308,ST/X/OP,Y,1,2026
138,Hitkarni College of Engineering & Technology Jabalpur (1997),Private,ELECT ELEX,DIPPPT,26,2251,UR/X/OP,N,29,2026
139,Hitkarni College of Engineering & Technology Jabalpur (1997),Private,CSE,DIPPPT,1246,2411,UR/X/OP,N,6,2026
140,Hitkarni College of Engineering & Technology Jabalpur (1997),Private,CSEIML,DIPPPT,2567,2739,UR/X/OP,N,2,2026
141,Hitkarni College of Engineering & Technology Jabalpur (1997),Private,CSEDS,DIPPPT,2826,2826,UR/X/OP,N,1,2026
142,Hitkarni College of Engineering & Technology Jabalpur (1997),Private,IT,DIPPPT,2499,2963,UR/X/OP,N,2,2026
143,Hitkarni College of Engineering & Technology Jabalpur (1997),Private,MECH,DIPPPT,625,3022,UR/X/OP,N,23,2026
144,Hitkarni College of Engineering & Technology Jabalpur (1997),Private,EC,DIPPPT,1582,3381,UR/X/OP,N,6,2026
145,Hitkarni College of Engineering & Technology Jabalpur (1997),Private,CIVIL,DIPPPT,766,3487,UR/X/OP,N,15,2026
146,Hitkarni College of Engineering & Technology Jabalpur (1997),Private,MECH,DIPPPT,3064,3064,UR/X/OP,N,1,2026
147,Hitkarni College of Engineering & Technology Jabalpur (1997),Private,ELECT ELEX,DIPPPT,2352,3458,UR/X/OP,N,11,2026
148,IES COLLEGE OF TECHNOLOGY BHOPAL (2007),Private,CSEIML,DIPPPT,842,842,UR/X/OP,N,1,2026
149,IES COLLEGE OF TECHNOLOGY BHOPAL (2007),Private,EC,DIPPPT,878,878,UR/X/OP,N,1,2026
150,IES COLLEGE OF TECHNOLOGY BHOPAL (2007),Private,CSE,DIPPPT,15,934,UR/X/OP,N,5,2026
151,IES COLLEGE OF TECHNOLOGY BHOPAL (2007),Private,AIAIDS,DIPPPT,1497,1497,UR/X/OP,N,1,2026
152,IES COLLEGE OF TECHNOLOGY BHOPAL (2007),Private,CIVIL,DIPPPT,3408,3408,UR/X/OP,N,1,2026
153,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,EC,DIPPPT,1643,1643,UR/X/OP,Y,1,2026
154,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,CIVIL,DIPPPT,2084,2084,OBC/X/OP,Y,1,2026
155,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,IT,DIPPPT,2237,2237,OBC/X/OP,Y,1,2026
156,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,EE,DIPPPT,2284,2284,OBC/X/OP,Y,1,2026
157,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,CIVIL,DIPPPT,1491,1491,SC/X/OP,Y,1,2026
158,Indira Gandhi Engineering College Sagar (IGEC) (1981),GOVT,IT,DIPPPT,1615,3448,SC/X/OP,Y,2,2026
